system:index,B11,B12,B2,B3,B4,B8,NDBI,NDVI,NDWI,class,.geo
98_0,0.273,0.2083,0.0572,0.073,0.08985,0.25160003,0.061410196,0.45956525,-0.5322405,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
99_0,0.24985,0.1757,0.04635,0.06615,0.0663,0.2928,-0.09202459,0.62346274,-0.6160734,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
100_0,0.21415,0.12305,0.0357,0.05945,0.04295,0.343,-0.25457323,0.7797619,-0.7113691,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
101_0,0.26715,0.2137,0.049,0.07,0.0751,0.28710002,-0.03047853,0.5568664,-0.57354957,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
102_0,0.2551,0.16675,0.0489,0.0709,0.0673,0.3276,-0.12907118,0.65875816,-0.63944316,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
103_0,0.2604,0.1825,0.04765,0.0794,0.0754,0.362,-0.1688494,0.6512759,-0.6682793,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
104_0,0.26295,0.19715,0.0529,0.0841,0.08235,0.3392,-0.11387644,0.60695016,-0.5932164,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
105_0,0.26135,0.1896,0.05305,0.07955,0.0801,0.29140002,-0.054835957,0.5673774,-0.5669409,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
106_0,0.28645,0.25315,0.1258,0.1735,0.1989,0.31260002,-0.02898479,0.21363157,-0.30447033,village,"{""type"":""MultiPoint"",""coordinates"":[]}"
107_0,0.17775,0.08695,0.0335,0.05675,0.0344,0.3288,-0.2910958,0.80760723,-0.6997419,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
108_0,0.2858,0.19395,0.06275,0.0915,0.1073,0.2435,0.04208092,0.44910285,-0.50369304,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
109_0,0.2079,0.11775,0.0491,0.07485,0.05615,0.28065002,-0.12307512,0.65412086,-0.57500327,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
110_0,0.2014,0.09615,0.03535,0.06125,0.03665,0.36645,-0.3130966,0.8178695,-0.71314794,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
111_0,0.18535,0.0838,0.0386,0.07025,0.03855,0.3837,-0.32487476,0.7994514,-0.68055207,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
112_0,0.25985,0.1623,0.0632,0.0934,0.1044,0.23934999,-0.045260943,0.4831368,-0.5254574,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
113_0,0.19895,0.0969,0.0387,0.0658,0.03955,0.37440002,-0.2999311,0.81049484,-0.6991306,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
114_0,0.2367,0.12315,0.0336,0.05675,0.03515,0.4474,-0.30737117,0.8448411,-0.771625,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
115_0,0.18635,0.0885,0.0364,0.0654,0.0394,0.38865,-0.32402235,0.817969,-0.7105148,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
116_0,0.18785,0.0908,0.0407,0.063,0.04105,0.36734998,-0.2899737,0.7879263,-0.6874884,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
117_0,0.1908,0.09545,0.04035,0.06705,0.04435,0.3675,-0.31801736,0.7800817,-0.6830076,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
