system:index,B11,B12,B2,B3,B4,B8,NDVI,class,.geo
191_0,2563.5,1354.5,430.0,701.0,558.5,3624.5,0.73406804,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
192_0,2423.5,1240.0,416.5,687.5,513.5,3437.0,0.73704374,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
193_0,2013.0,940.0,363.5,780.0,487.0,4107.0,0.7865309,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
194_0,2603.5,1277.5,413.5,714.0,502.5,4138.0,0.7847433,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
195_0,2543.0,1151.0,409.5,716.0,409.0,4592.0,0.83535546,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
196_0,2418.0,1215.5,397.5,670.0,571.5,3352.0,0.7033209,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
197_0,2048.0,999.0,454.5,776.0,572.5,3686.0,0.7290739,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
198_0,2438.0,1205.5,424.0,717.5,521.0,3826.0,0.75491273,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
199_0,2637.5,1399.5,477.0,780.0,655.5,3376.0,0.67418545,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
200_0,2345.0,1135.5,390.5,711.0,456.5,4110.5,0.8003532,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
201_0,2620.0,1340.5,470.5,736.5,613.0,3431.0,0.6944506,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
202_0,2782.5,1500.0,508.5,756.0,646.5,3289.5,0.6715335,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
203_0,2459.0,1258.0,417.5,743.0,548.0,3368.0,0.71792686,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
204_0,2597.5,1337.0,415.0,761.0,538.5,3683.0,0.7433891,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
