system:index,B11,B12,B2,B3,B4,B8,class,.geo
110_0,2017.0,962.0,363.5,617.0,372.0,3742.5,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
111_0,1853.5,838.0,386.0,702.5,385.5,3837.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
112_0,2603.0,1623.5,634.0,938.5,1049.0,2717.5,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
113_0,1996.5,969.0,398.0,661.0,399.0,3748.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
114_0,2367.0,1231.5,336.0,567.5,351.5,4474.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
115_0,1863.5,885.0,364.0,654.0,394.0,3886.5,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
116_0,1882.5,908.5,417.0,636.5,414.5,3679.5,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
117_0,1908.0,954.5,403.5,670.5,443.5,3675.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
118_0,1800.5,824.0,355.0,687.0,333.0,4548.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
119_0,2756.5,1741.5,486.0,733.0,599.5,2868.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
120_0,1987.5,1021.0,427.0,786.0,481.0,3853.5,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
121_0,2464.0,1463.0,511.5,850.0,580.0,4042.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
122_0,2088.0,1107.5,422.0,748.0,493.5,3728.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
123_0,2045.5,1077.5,399.0,614.5,457.5,3328.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
124_0,2470.5,1409.5,502.0,819.5,805.0,2737.5,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
125_0,1779.5,927.5,405.0,576.0,410.0,2940.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
126_0,1539.5,704.0,320.0,514.0,336.5,3602.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
127_0,2030.5,1085.5,390.5,658.0,416.0,3469.5,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
128_0,1621.5,835.5,328.5,602.0,353.0,3872.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
129_0,2446.5,1244.5,452.0,741.0,545.0,3599.5,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
130_0,2127.0,1061.0,388.5,701.0,461.5,3504.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
131_0,2247.0,1099.0,366.0,731.0,331.0,4154.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
132_0,2747.5,1786.5,600.5,864.0,870.0,2819.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
133_0,2171.5,1265.5,424.0,801.0,474.0,3659.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
134_0,2724.5,1714.5,514.0,791.0,745.5,3067.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
135_0,2472.5,1475.0,533.5,876.5,787.5,3544.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
136_0,1789.5,910.0,417.0,621.5,412.0,3500.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
137_0,2751.0,1722.0,643.0,945.0,1009.5,3327.5,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
138_0,1688.5,710.5,323.0,512.0,330.0,4132.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
139_0,2483.5,1393.5,475.0,806.5,611.0,3378.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
140_0,1752.5,761.5,305.5,520.5,308.0,3974.5,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
141_0,1788.5,948.5,445.5,721.0,450.5,3183.5,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
142_0,2258.5,1036.5,398.5,658.0,430.5,4058.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
143_0,1779.0,911.5,409.5,564.0,383.5,3823.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
144_0,2088.5,1139.0,426.5,578.0,406.0,3503.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
145_0,1823.5,854.0,380.0,545.0,336.0,4349.5,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
146_0,1915.0,894.0,348.0,588.0,292.0,4441.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
147_0,1993.0,1080.0,379.0,592.0,366.0,3572.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
148_0,2004.0,1203.0,470.0,712.0,526.0,3125.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
149_0,2894.0,1835.0,641.0,960.0,942.0,3328.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
150_0,2354.0,1331.0,443.0,784.0,536.0,3560.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
151_0,1845.0,883.0,309.0,514.0,299.0,3602.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
152_0,1969.0,1103.0,444.0,766.0,576.0,3209.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
153_0,2074.0,985.0,352.0,586.0,359.0,4092.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
154_0,2226.0,1415.0,490.0,723.0,652.0,3026.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
155_0,2991.0,1986.0,612.0,930.0,1021.0,3344.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
156_0,2041.0,1072.0,376.0,701.0,481.0,3840.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
157_0,2329.0,1341.0,378.0,696.0,418.0,4223.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
158_0,2210.0,1349.0,476.0,710.0,592.0,3055.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
159_0,1852.0,849.0,354.0,552.0,344.0,3948.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
160_0,1935.0,932.0,410.0,758.0,430.0,3792.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
161_0,1985.0,952.0,371.0,650.0,377.0,3355.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
162_0,2209.0,1157.0,328.0,612.0,259.0,4231.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
163_0,2143.0,1297.0,433.0,738.0,756.0,2441.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
164_0,2238.0,1158.0,369.0,686.0,542.0,3768.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
165_0,2023.0,1087.0,432.0,722.0,520.0,3220.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
166_0,2140.0,1075.0,384.0,662.0,414.0,3721.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
167_0,2042.0,1110.0,404.0,692.0,522.0,3398.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
168_0,2111.0,1084.0,325.0,565.0,371.0,3948.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
169_0,2079.0,1059.0,438.0,692.0,436.0,3852.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
170_0,1911.0,993.0,433.0,822.0,563.0,3255.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
171_0,1761.0,873.0,326.0,552.0,321.0,3737.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
172_0,1562.0,676.0,297.0,492.0,291.0,3696.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
173_0,2516.0,1323.0,424.0,722.0,528.0,3520.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
174_0,1815.0,795.0,298.0,582.0,256.0,3752.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
175_0,2082.0,1306.0,387.0,638.0,445.0,3564.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
176_0,2082.0,1306.0,471.0,760.0,704.0,2883.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
177_0,1977.0,1065.0,394.0,693.0,417.0,3577.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
178_0,2198.0,1180.0,405.0,720.0,455.0,3672.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
179_0,1993.0,886.0,331.0,684.0,336.0,4404.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
180_0,2354.0,1176.0,408.0,776.0,548.0,3729.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
181_0,2352.0,1184.0,426.0,776.0,586.0,3960.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
182_0,2165.0,1153.0,334.0,672.0,460.0,4070.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
183_0,2390.0,1362.0,399.0,702.0,570.0,3485.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
184_0,2095.0,1143.0,396.0,725.0,497.0,3136.0,agriculture,"{""type"":""MultiPoint"",""coordinates"":[]}"
185_0,2771.5,1462.0,502.5,876.5,659.5,3871.0,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
186_0,2505.5,1223.5,441.0,784.0,528.5,4098.0,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
187_0,2081.5,985.0,370.5,792.5,412.0,3932.0,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
188_0,2586.0,1368.0,436.0,723.0,559.0,3584.0,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
189_0,2334.0,1152.0,455.5,808.0,551.0,4010.5,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
190_0,2127.5,1036.0,380.5,646.0,512.0,3088.5,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
191_0,2563.5,1354.5,430.0,701.0,558.5,3624.5,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
192_0,2423.5,1240.0,416.5,687.5,513.5,3437.0,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
193_0,2013.0,940.0,363.5,780.0,487.0,4107.0,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
194_0,2603.5,1277.5,413.5,714.0,502.5,4138.0,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
195_0,2543.0,1151.0,409.5,716.0,409.0,4592.0,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
196_0,2418.0,1215.5,397.5,670.0,571.5,3352.0,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
197_0,2048.0,999.0,454.5,776.0,572.5,3686.0,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
198_0,2438.0,1205.5,424.0,717.5,521.0,3826.0,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
199_0,2637.5,1399.5,477.0,780.0,655.5,3376.0,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
200_0,2345.0,1135.5,390.5,711.0,456.5,4110.5,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
201_0,2620.0,1340.5,470.5,736.5,613.0,3431.0,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
202_0,2782.5,1500.0,508.5,756.0,646.5,3289.5,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
203_0,2459.0,1258.0,417.5,743.0,548.0,3368.0,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
204_0,2597.5,1337.0,415.0,761.0,538.5,3683.0,pastures,"{""type"":""MultiPoint"",""coordinates"":[]}"
205_0,1809.0,923.0,503.0,733.0,588.0,3150.0,rails,"{""type"":""MultiPoint"",""coordinates"":[]}"
206_0,1806.0,934.5,494.5,706.0,620.5,2679.0,rails,"{""type"":""MultiPoint"",""coordinates"":[]}"
207_0,1850.5,1002.5,465.5,706.0,585.0,2487.0,rails,"{""type"":""MultiPoint"",""coordinates"":[]}"
208_0,1856.5,940.0,497.0,705.0,566.0,2817.5,rails,"{""type"":""MultiPoint"",""coordinates"":[]}"
209_0,1799.0,853.0,446.0,641.0,502.0,3132.0,rails,"{""type"":""MultiPoint"",""coordinates"":[]}"
210_0,2128.5,1605.0,1271.0,1458.0,1540.0,1970.5,rails,"{""type"":""MultiPoint"",""coordinates"":[]}"
211_0,2125.5,1594.0,1351.0,1529.0,1652.0,2008.0,rails,"{""type"":""MultiPoint"",""coordinates"":[]}"
212_0,2370.0,1658.5,428.5,654.5,548.5,2808.0,rails,"{""type"":""MultiPoint"",""coordinates"":[]}"
213_0,156.0,98.0,550.0,808.0,786.0,454.0,water,"{""type"":""MultiPoint"",""coordinates"":[]}"
214_0,112.0,64.0,554.0,787.0,780.0,393.0,water,"{""type"":""MultiPoint"",""coordinates"":[]}"
215_0,281.0,123.0,548.0,782.0,753.0,466.0,water,"{""type"":""MultiPoint"",""coordinates"":[]}"
216_0,158.0,69.0,538.0,771.0,753.0,474.0,water,"{""type"":""MultiPoint"",""coordinates"":[]}"
217_0,334.0,143.0,552.0,792.0,766.0,468.0,water,"{""type"":""MultiPoint"",""coordinates"":[]}"
